NO.,Repeating units,Experimental band gap/eV,DFT calculated band gap/eV,SMILES
1,NH-CS-NH-C6H4-CH2-C6H4,3.3,3.423,*-NC(=S)NC1=CC=C(CC2=CC=C(-*)C=C2)C=C1
2,NH-CS-NH-C6H4,3.1,3.426,*-NC(=S)NC1=CC=C(-*)C=C1
3,NH-CS-NH-C6H4-NH-CS-NH-C6H4,3.07,3.072,*-NC(=S)NC1=CC=C(NC(=S)NC2=CC=C(-*)C=C2)C=C1
4,NH-CO-NH-C6H4,3.9,4.455,*-NC(=O)NC1=CC=C(-*)C=C1
5,NH-CS-NH-C6H4-NH-CS-NH-C6H4- CH2-C6H4,3.16,3.052,*-NC(=S)NC1=CC=C(NC(=S)NC2=CC=C(CC3=CC=C(-*)C=C3)C=C2)C=C1
6,NH-CS-NH-C6H4-NH-CS-NH-C6H4- O-C6H4,3.22,3.099,*-NC(=S)NC1=CC=C(NC(=S)NC2=CC=C(OC3=CC=C(-*)C=C3)C=C2)C=C1
7,NH-CS-NH-C6H4-NH-CS-NH-CH2- CH2-CH2-CH2,3.53,3.08,*-CCCCNC(=S)NC1=CC=C(NC(=S)N-*)C=C1
8,CO-NH-CO-C6H4,4,3.374,*-C(=O)NC(=O)C1=CC=C(-*)C=C1
9,CH2-CH2-CH2-CH2,8.8,8.825,*-CCCC-*
